,ZIP Code,SAFMR 0BR,SAFMR 1BR,SAFMR 2BR,SAFMR 3BR,SAFMR 4BR,Total Population,Median Age,Percent Males,Percent Females,"Percent Race, White","Percent Race, Black","Percent Race, Native or Alaskan","Percent Race, Asian","Percent Race, Native Hawaiian or Pacific Islander","Percent Race, Two or more races","Percent Race, Hispanic or Latino",Percent speak another language at home,Percent never married,Percent married,Percent divorced,Percent widowed,Percent less than high school, Percent high school graduate,Percent some college or associates,Percent college graduate,Percent graduate degree,Median income in past year,"Percent, 100 poverty status","Percent, 100 TO 149 poverty status","Percent, 150 poverty status","Total population, born in state of residence",Percent born in state of residence,RES_RATIO,State,Total Gender,Region
14882,85383,2020,2200,2610,3580,4070,72101,40.7,49.6,50.4,77.1,2.8,0.4,8.6,0.0,9.4,9.9,12.5,20.3,68.7,7.6,3.3,3.5,13.9,31.9,29.2,21.6,62229,4.9,3.8,91.3,27750,38.48767700864066,1.0,AZ,100.0,SW
14864,85342,910,990,1180,1650,1880,1639,56.2,46.6,53.4,91.1,1.0,0.4,0.4,0.0,4.9,11.8,8.4,17.6,56.7,18.4,7.3,6.9,33.8,35.4,16.9,7.0,32440,14.8,11.8,73.5,642,39.17022574740695,1.0,AZ,100.0,SW
1265,76511,990,1120,1310,1690,1980,2473,42.7,51.2,48.8,64.6,6.0,2.9,0.2,0.0,7.7,40.1,28.5,27.0,51.4,13.2,8.4,15.8,41.5,30.3,8.2,4.2,35030,11.4,6.8,81.8,1756,71.00687424181157,1.0,TX,100.0,SW
5222,75048,1570,1650,1950,2460,3200,29600,40.2,45.8,54.2,51.4,14.2,0.3,19.3,0.2,11.1,14.1,29.7,27.2,57.8,10.0,5.0,5.6,21.5,25.9,30.4,16.6,59082,3.3,2.1,94.5,14971,50.577702702702695,1.0,TX,100.0,SW
10903,75650,820,840,1110,1350,1490,10233,37.4,49.6,50.4,79.0,5.5,1.5,1.3,0.0,8.4,11.3,3.8,23.6,62.2,10.8,3.4,9.2,27.0,32.7,22.9,8.3,37569,8.0,4.9,87.1,7293,71.26942245675755,1.0,TX,100.0,SW
8553,77378,900,950,1140,1500,1940,17576,39.5,49.7,50.3,73.3,6.5,1.2,0.1,0.0,13.7,32.2,19.9,33.9,51.4,10.9,3.7,19.0,36.0,26.7,14.1,4.3,31929,14.4,8.7,76.9,10614,60.38916704597178,1.0,TX,100.0,SW
6757,73727,670,680,900,1170,1210,101,32.2,33.7,66.3,71.3,0.0,0.0,4.0,0.0,24.8,0.0,0.0,27.9,68.9,3.3,0.0,20.0,40.0,34.5,5.5,0.0,17386,10.9,0.0,89.1,66,65.34653465346535,1.0,OK,100.0,SW
5451,76054,1410,1590,1870,2470,3060,11840,42.9,51.7,48.3,71.2,5.1,2.7,8.6,1.1,9.6,13.4,11.5,25.6,57.8,10.2,6.4,4.7,16.4,30.7,33.9,14.2,51042,5.8,3.5,90.7,6956,58.75,1.0,TX,100.0,SW
8622,77535,840,900,1070,1410,1820,38037,34.8,46.7,53.3,73.8,7.3,0.2,0.6,0.0,12.1,26.0,20.6,29.3,48.9,16.1,5.8,18.4,35.1,33.0,10.6,3.0,37129,13.6,5.4,81.0,27331,71.8537213765544,1.0,TX,100.0,SW
14770,85119,1060,1160,1370,1880,2140,25611,49.9,51.3,48.7,79.9,1.5,1.0,1.1,0.0,12.3,19.0,12.5,24.0,52.7,15.3,8.0,7.7,32.0,37.7,14.6,8.0,39430,9.9,8.1,82.0,7867,30.717269923079925,1.0,AZ,100.0,SW
17281,78050,810,990,1130,1370,1860,697,32.2,35.9,64.1,27.0,4.7,0.0,0.0,0.0,68.3,73.6,56.8,37.0,42.7,9.5,10.8,16.6,42.7,35.2,5.5,0.0,40722,9.6,0.0,90.4,624,89.52654232424678,1.0,TX,100.0,SW
17167,78039,590,630,830,1080,1120,2311,42.0,49.9,50.1,60.5,5.6,0.0,0.0,0.0,31.0,55.7,32.9,33.1,43.4,13.9,9.6,9.0,52.5,22.4,11.9,4.2,35536,10.7,3.4,85.9,1847,79.9221116399827,1.0,TX,100.0,SW
17240,78236,1370,1580,1920,2440,2980,7629,21.2,63.2,36.8,65.1,14.5,0.5,4.2,0.9,11.9,13.7,13.3,77.0,21.5,1.5,0.0,4.7,12.9,44.0,31.0,7.4,23476,7.0,15.3,77.7,720,9.43767204089658,1.0,TX,100.0,SW
5285,75161,1000,1050,1240,1560,2040,6910,49.3,47.3,52.7,72.3,4.3,0.3,1.6,0.0,15.3,24.0,14.7,22.6,57.1,14.8,5.5,16.4,37.9,32.4,9.6,3.8,35053,5.2,1.7,93.1,3760,54.41389290882779,1.0,TX,100.0,SW
14812,85248,1650,1800,2140,2930,3340,37461,58.0,48.2,51.8,72.6,3.4,2.3,12.9,0.0,7.3,7.7,17.4,19.1,60.7,12.2,8.0,3.4,13.5,31.3,29.7,22.1,50833,6.5,3.2,90.4,7329,19.56434692079763,1.0,AZ,100.0,SW
5416,76641,1150,1210,1430,1800,2350,2094,33.5,51.2,48.8,61.7,1.9,1.3,0.0,0.0,27.7,32.6,25.7,25.8,58.5,9.2,6.5,20.3,29.1,35.5,8.9,6.2,30878,18.8,8.4,72.8,1492,71.25119388729703,1.0,TX,100.0,SW
13935,74857,650,680,840,1120,1310,9902,45.2,54.3,45.7,79.6,1.9,7.8,0.4,0.0,8.9,3.7,4.1,19.6,60.5,12.0,7.9,12.9,34.9,28.9,17.4,5.8,47738,8.5,5.8,85.7,6481,65.45142395475662,1.0,OK,100.0,SW
11523,79331,690,690,830,1170,1410,11751,34.8,58.0,42.0,53.4,7.5,0.2,0.4,0.0,23.8,55.8,35.0,35.7,39.5,17.9,7.0,27.4,35.2,23.4,11.6,2.4,31190,18.4,15.8,65.8,9741,82.89507275976513,1.0,TX,100.0,SW
9813,76557,630,660,840,1150,1290,5341,43.6,52.9,47.1,79.4,3.1,1.2,2.1,0.0,10.1,16.9,8.4,26.5,51.2,12.3,10.1,10.0,32.0,32.5,17.2,8.3,35620,10.8,9.3,79.9,4283,80.19097547275791,1.0,TX,100.0,SW
